,Date,Home,Name,Position,Team,Vs,A,Bbps,BPS,CS,FA,G,GC,GW,Mins,Off,OG,On,Pl Rc,Pl Yc,Starts,TA,X A,X G,X Gi,Date_Formatted,Vs_xGC_per90_Last6,Vs_xG_per90_Last6,xG_per90_Last6,xA_per90_Last6,xGC_per90_Last6
2716,12/09/2020,False,"Maitland-Niles  Ainsley Maitland-Niles (Arsenal, Defender)",DEF,ARS,FUL,0,9,21,1,0,0,0,1,90,0,0,0,0,0,1,0,0.01,0.0,0.01,2020-09-12,,,,,
2715,12/09/2020,False,"Leno  Bernd Leno (Arsenal, Goalkeeper)",GKP,ARS,FUL,0,17,29,1,0,0,0,1,90,0,0,0,0,0,1,0,0.0,0.0,0.0,2020-09-12,,,,,
2714,12/09/2020,False,"Lacazette  Alexandre Lacazette (Arsenal, Forward)",FWD,ARS,FUL,0,2,29,1,0,1,0,1,87,1,0,0,0,0,1,0,0.09,0.9,0.99,2020-09-12,,,,,
2713,12/09/2020,False,"Holding  Rob Holding (Arsenal, Defender)",DEF,ARS,FUL,0,16,28,1,0,0,0,1,90,0,0,0,0,0,1,0,0.02,0.0,0.02,2020-09-12,,,,,
2712,12/09/2020,False,"Elneny  Mohamed Elneny (Arsenal, Midfielder)",MID,ARS,FUL,0,15,15,1,0,0,0,1,90,0,0,0,0,0,1,0,0.02,0.09,0.11,2020-09-12,,,,,
2724,12/09/2020,True,"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",MID,FUL,ARS,0,10,10,0,0,0,3,1,90,0,0,0,0,0,1,0,0.03,0.0,0.03,2020-09-12,,,,,
2739,12/09/2020,False,"Dallas  Stuart Dallas (Leeds United, Defender)",DEF,LEE,LIV,0,12,21,0,1,0,4,1,90,0,0,0,0,0,1,1,0.01,0.0,0.01,2020-09-12,,,,,
2740,12/09/2020,False,"Harrison  Jack Harrison (Leeds United, Midfielder)",MID,LEE,LIV,0,5,23,0,0,1,4,1,90,0,0,0,0,0,1,0,0.01,0.07,0.08,2020-09-12,,,,,
2741,12/09/2020,False,"Hernández  Pablo Hernández (Leeds United, Midfielder)",MID,LEE,LIV,0,8,8,0,0,0,3,1,62,1,0,0,0,0,1,0,0.01,0.0,0.01,2020-09-12,,,,,
2846,12/09/2020,False,"Almirón  Miguel Almirón (Newcastle United, Midfielder)",MID,NEW,WHU,1,4,13,0,0,0,0,1,5,0,0,1,0,0,0,1,0.05,0.1,0.15,2020-09-12,,,,,
2847,12/09/2020,False,"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",FWD,NEW,WHU,0,4,4,0,0,0,0,1,15,0,0,1,0,0,0,0,0.02,0.03,0.05,2020-09-12,,,,,
2848,12/09/2020,False,"Carroll  Andy Carroll (Newcastle United, Forward)",FWD,NEW,WHU,0,3,3,1,0,0,0,1,88,1,0,0,0,0,1,0,0.04,0.25,0.29,2020-09-12,,,,,
2763,12/09/2020,True,"van Dijk  Virgil van Dijk (Liverpool, Defender)",DEF,LIV,LEE,0,7,19,0,0,1,3,1,90,0,0,0,0,0,1,0,0.01,0.17,0.18,2020-09-12,,,,,
2762,12/09/2020,True,"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",MID,LIV,LEE,0,9,9,0,0,0,3,1,90,0,0,0,0,0,1,0,0.06,0.16,0.22,2020-09-12,,,,,
2761,12/09/2020,True,"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",MID,LIV,LEE,0,4,13,0,1,0,1,1,31,0,0,1,0,0,0,1,0.0,0.0,0.0,2020-09-12,,,,,
2760,12/09/2020,True,"Salah  Mohamed Salah (Liverpool, Midfielder)",MID,LIV,LEE,0,12,69,0,0,3,3,1,90,0,0,0,0,0,1,0,0.25,1.96,2.21,2020-09-12,,,,,
2759,12/09/2020,True,"Robertson  Andrew Robertson (Liverpool, Defender)",DEF,LIV,LEE,1,11,20,0,0,0,3,1,90,0,0,0,0,0,1,1,0.14,0.0,0.14,2020-09-12,,,,,
2758,12/09/2020,True,"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",GKP,LIV,LEE,0,9,9,0,0,0,3,1,90,0,0,0,0,0,1,0,0.0,0.0,0.0,2020-09-12,,,,,
2757,12/09/2020,True,"Matip  Joel Matip (Liverpool, Defender)",DEF,LIV,LEE,0,2,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,0.0,0.0,2020-09-12,,,,,
2756,12/09/2020,True,"Mane  Sadio Mane (Liverpool, Midfielder)",MID,LIV,LEE,0,13,13,0,0,0,3,1,90,0,0,0,0,0,1,0,0.27,0.27,0.54,2020-09-12,,,,,
2755,12/09/2020,True,"Keita  Naby Keita (Liverpool, Midfielder)",MID,LIV,LEE,0,2,2,0,0,0,2,1,59,1,0,0,0,0,1,0,0.05,0.07,0.12,2020-09-12,,,,,
2754,12/09/2020,True,"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",MID,LIV,LEE,0,1,1,0,0,0,1,1,24,0,0,1,0,0,0,0,0.03,0.0,0.03,2020-09-12,,,,,
2753,12/09/2020,True,"Henderson (Jordan)  Jordan Henderson (Liverpool, Midfielder)",MID,LIV,LEE,0,19,19,0,0,0,2,1,66,1,0,0,0,0,1,0,0.03,0.02,0.05,2020-09-12,,,,,
2752,12/09/2020,True,"Gomez  Joseph Gomez (Liverpool, Defender)",DEF,LIV,LEE,0,13,13,0,0,0,3,1,90,0,0,0,0,0,1,0,0.01,0.0,0.01,2020-09-12,,,,,
2751,12/09/2020,True,"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",FWD,LIV,LEE,0,10,10,0,0,0,3,1,90,0,0,0,0,1,1,0,0.27,0.1,0.37,2020-09-12,,,,,
2750,12/09/2020,True,"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",DEF,LIV,LEE,0,10,10,0,0,0,3,1,89,1,0,0,0,0,1,0,0.07,0.0,0.07,2020-09-12,,,,,
2749,12/09/2020,False,"Struijk  Pascal Struijk (Leeds United, Defender)",DEF,LEE,LIV,0,19,19,0,0,0,4,1,90,0,0,0,0,0,1,0,0.0,0.0,0.0,2020-09-12,,,,,
2748,12/09/2020,False,"Shackleton  Jamie Shackleton (Leeds United, Midfielder)",MID,LEE,LIV,0,6,6,0,0,0,1,1,9,0,0,1,0,0,0,0,0.0,0.0,0.0,2020-09-12,,,,,
2747,12/09/2020,False,"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",MID,LEE,LIV,0,5,5,0,0,0,1,1,28,0,0,1,0,0,0,0,0.0,0.0,0.0,2020-09-12,,,,,
2746,12/09/2020,False,"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",MID,LEE,LIV,1,15,24,0,0,0,4,1,90,0,0,0,0,0,1,1,0.06,0.05,0.11,2020-09-12,,,,,
2745,12/09/2020,False,"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",FWD,LEE,LIV,0,0,0,0,0,0,1,1,28,0,0,1,0,0,0,0,0.0,0.0,0.0,2020-09-12,,,,,
2744,12/09/2020,False,"Meslier  Illan Meslier (Leeds United, Goalkeeper)",GKP,LEE,LIV,0,20,20,0,0,0,4,1,90,0,0,0,0,0,1,0,0.0,0.0,0.0,2020-09-12,,,,,
2743,12/09/2020,False,"Koch  Robin Koch (Leeds United, Defender)",DEF,LEE,LIV,0,14,14,0,0,0,4,1,90,0,0,0,0,0,1,0,0.0,0.05,0.05,2020-09-12,,,,,
2742,12/09/2020,False,"Klich  Mateusz Klich (Leeds United, Midfielder)",MID,LEE,LIV,0,15,33,0,0,1,3,1,81,1,0,0,0,0,1,0,0.01,0.07,0.08,2020-09-12,,,,,
2711,12/09/2020,False,"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",MID,ARS,FUL,0,6,6,0,0,0,0,1,12,0,0,1,0,0,0,0,0.02,0.0,0.02,2020-09-12,,,,,
2710,12/09/2020,False,"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",MID,ARS,FUL,2,8,35,1,1,0,0,1,75,1,0,0,0,0,1,3,0.22,0.87,1.09,2020-09-12,,,,,
2722,12/09/2020,True,"Bryan (Joe)  Joe Bryan (Fulham, Defender)",DEF,FUL,ARS,0,12,12,0,0,0,3,1,90,0,0,0,0,0,1,0,0.03,0.0,0.03,2020-09-12,,,,,
2708,12/09/2020,False,"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",MID,ARS,FUL,0,1,19,1,0,1,0,1,90,0,0,0,0,1,1,0,0.04,0.23,0.27,2020-09-12,,,,,
2849,12/09/2020,False,"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",GKP,NEW,WHU,0,14,26,1,0,0,0,1,90,0,0,0,0,0,1,0,0.0,0.0,0.0,2020-09-12,,,,,
2850,12/09/2020,False,"Fernández  Federico Fernández (Newcastle United, Defender)",DEF,NEW,WHU,0,15,27,1,0,0,0,1,90,0,0,0,0,0,1,0,0.0,0.03,0.03,2020-09-12,,,,,
2851,12/09/2020,False,"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",MID,NEW,WHU,0,15,15,1,0,0,0,1,90,0,0,0,0,1,1,0,0.01,0.0,0.01,2020-09-12,,,,,
2852,12/09/2020,False,"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",MID,NEW,WHU,1,14,41,1,0,1,0,1,90,0,0,0,0,0,1,1,0.32,0.07,0.39,2020-09-12,,,,,
2853,12/09/2020,False,"Lascelles  Jamaal Lascelles (Newcastle United, Defender)",DEF,NEW,WHU,0,10,22,1,0,0,0,1,90,0,0,0,0,0,1,0,0.0,0.0,0.0,2020-09-12,,,,,
2854,12/09/2020,False,"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",DEF,NEW,WHU,0,19,31,1,0,0,0,1,90,0,0,0,0,0,1,0,0.06,0.0,0.06,2020-09-12,,,,,
2855,12/09/2020,False,"Longstaff (Sean)  Sean Longstaff (Newcastle United, Midfielder)",MID,NEW,WHU,0,3,3,0,0,0,0,1,2,0,0,1,0,0,0,0,0.0,0.0,0.0,2020-09-12,,,,,
2856,12/09/2020,False,"Manquillo  Javier Manquillo (Newcastle United, Defender)",DEF,NEW,WHU,0,10,22,1,0,0,0,1,90,0,0,0,0,1,1,0,0.06,0.0,0.06,2020-09-12,,,,,
2857,12/09/2020,False,"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",MID,NEW,WHU,0,7,7,1,0,0,0,1,75,1,0,0,0,0,1,0,0.06,0.03,0.09,2020-09-12,,,,,
2858,12/09/2020,False,"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",MID,NEW,WHU,0,12,12,1,0,0,0,1,90,0,0,0,0,0,1,0,0.1,0.2,0.3,2020-09-12,,,,,
2709,12/09/2020,False,"Bellerín  Héctor Bellerín (Arsenal, Defender)",DEF,ARS,FUL,0,11,23,1,0,0,0,1,90,0,0,0,0,1,1,0,0.31,0.0,0.31,2020-09-12,,,,,
2860,12/09/2020,True,"Antonio  Michail Antonio (West Ham United, Forward)",FWD,WHU,NEW,0,0,0,0,0,0,2,1,90,0,0,0,0,0,1,0,0.02,0.18,0.2,2020-09-12,,,,,
2861,12/09/2020,True,"Bowen  Jarrod Bowen (West Ham United, Midfielder)",MID,WHU,NEW,0,5,5,0,0,0,2,1,89,1,0,0,0,0,1,0,0.01,0.09,0.1,2020-09-12,,,,,
2862,12/09/2020,True,"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",DEF,WHU,NEW,0,11,11,0,0,0,2,1,90,0,0,0,0,0,1,0,0.03,0.0,0.03,2020-09-12,,,,,
2863,12/09/2020,True,"Diop  Issa Diop (West Ham United, Defender)",DEF,WHU,NEW,0,15,15,0,0,0,2,1,90,0,0,0,0,0,1,0,0.02,0.0,0.02,2020-09-12,,,,,
2864,12/09/2020,True,"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",GKP,WHU,NEW,0,9,9,0,0,0,2,1,90,0,0,0,0,0,1,0,0.0,0.0,0.0,2020-09-12,,,,,
2865,12/09/2020,True,"Fornals  Pablo Fornals (West Ham United, Midfielder)",MID,WHU,NEW,0,8,8,0,0,0,1,1,67,1,0,0,0,0,1,0,0.02,0.09,0.11,2020-09-12,,,,,
2866,12/09/2020,True,"Fredericks  Ryan Fredericks (West Ham United, Defender)",DEF,WHU,NEW,0,12,12,0,0,0,2,1,90,0,0,0,0,1,1,0,0.23,0.0,0.23,2020-09-12,,,,,
2867,12/09/2020,True,"Haller  Sébastien Haller (West Ham United, Forward)",FWD,WHU,NEW,0,2,2,0,0,0,1,1,23,0,0,1,0,0,0,0,0.62,0.19,0.81,2020-09-12,,,,,
2868,12/09/2020,True,"Noble  Mark Noble (West Ham United, Midfielder)",MID,WHU,NEW,0,8,8,0,0,0,1,1,67,1,0,0,0,0,1,0,0.05,0.0,0.05,2020-09-12,,,,,
2869,12/09/2020,True,"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",DEF,WHU,NEW,0,14,14,0,0,0,2,1,90,0,0,0,0,0,1,0,0.02,0.05,0.07,2020-09-12,,,,,
2870,12/09/2020,True,"Felipe Anderson  Felipe Anderson Pereira Gomes (West Ham United, Midfielder)",MID,WHU,NEW,0,5,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0.01,0.0,0.01,2020-09-12,,,,,
2871,12/09/2020,True,"Rice  Declan Rice (West Ham United, Midfielder)",MID,WHU,NEW,0,14,14,0,0,0,2,1,90,0,0,0,0,0,1,0,0.08,0.0,0.08,2020-09-12,,,,,
2872,12/09/2020,True,"Soucek  Tomas Soucek (West Ham United, Midfielder)",MID,WHU,NEW,0,11,11,0,0,0,2,1,90,0,0,0,0,0,1,0,0.01,0.4,0.41,2020-09-12,,,,,
2873,12/09/2020,True,"Yarmolenko  Andriy Yarmolenko (West Ham United, Midfielder)",MID,WHU,NEW,0,-1,-1,0,0,0,1,1,23,0,0,1,0,1,0,0,0.01,0.09,0.1,2020-09-12,,,,,
2681,12/09/2020,True,"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",FWD,CRY,SOU,0,-7,-7,1,0,0,0,1,90,0,0,0,0,0,1,0,0.0,0.06,0.06,2020-09-12,,,,,
2682,12/09/2020,True,"Dann  Scott Dann (Crystal Palace, Defender)",DEF,CRY,SOU,0,12,24,1,0,0,0,1,90,0,0,0,0,0,1,0,0.04,0.0,0.04,2020-09-12,,,,,
2859,12/09/2020,False,"C Wilson  Callum Wilson (Newcastle United, Forward)",FWD,NEW,WHU,0,5,32,1,0,1,0,1,85,1,0,0,0,0,1,0,0.07,0.9,0.97,2020-09-12,,,,,
2707,12/09/2020,False,"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",MID,SOU,CRY,0,15,15,0,0,0,1,1,90,0,0,0,0,0,1,0,0.05,0.12,0.17,2020-09-12,,,,,
2683,12/09/2020,True,"Eze  Eberechi Eze (Crystal Palace, Midfielder)",MID,CRY,SOU,0,3,3,0,0,0,0,1,9,0,0,1,0,0,0,0,0.02,0.0,0.02,2020-09-12,,,,,
2706,12/09/2020,False,"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",DEF,SOU,CRY,0,11,11,0,0,0,1,1,90,0,0,0,0,1,1,0,0.2,0.0,0.2,2020-09-12,,,,,
2705,12/09/2020,False,"Vestergaard  Jannik Vestergaard (Southampton, Defender)",DEF,SOU,CRY,0,19,19,0,0,0,0,1,45,0,0,1,0,0,0,0,0.14,0.0,0.14,2020-09-12,,,,,
2704,12/09/2020,False,"Stephens (Jack)  Jack Stephens (Southampton, Defender)",DEF,SOU,CRY,0,12,12,0,0,0,1,1,90,0,0,0,0,0,1,0,0.05,0.07,0.12,2020-09-12,,,,,
2703,12/09/2020,False,"Smallbone  William Smallbone (Southampton, Midfielder)",MID,SOU,CRY,0,4,4,0,0,0,1,1,77,1,0,0,0,0,1,0,0.0,0.0,0.0,2020-09-12,,,,,
2702,12/09/2020,False,"Romeu  Oriol Romeu (Southampton, Midfielder)",MID,SOU,CRY,0,13,13,0,0,0,1,1,90,0,0,0,0,0,1,0,0.03,0.0,0.03,2020-09-12,,,,,
2701,12/09/2020,False,"Redmond  Nathan Redmond (Southampton, Midfielder)",MID,SOU,CRY,0,5,5,0,0,0,1,1,90,0,0,0,0,0,1,0,0.05,0.13,0.18,2020-09-12,,,,,
2699,12/09/2020,False,"Long (Shane)  Shane Long (Southampton, Forward)",FWD,SOU,CRY,0,4,4,0,0,0,0,1,5,0,0,1,0,0,0,0,0.0,0.0,0.0,2020-09-12,,,,,
2698,12/09/2020,False,"Ings  Danny Ings (Southampton, Forward)",FWD,SOU,CRY,0,1,1,0,0,0,1,1,90,0,0,0,0,0,1,0,0.05,0.36,0.41,2020-09-12,,,,,
2697,12/09/2020,False,"Djenepo  Moussa Djenepo (Southampton, Midfielder)",MID,SOU,CRY,0,4,4,0,0,0,0,1,13,0,0,1,0,0,0,0,0.0,0.0,0.0,2020-09-12,,,,,
2696,12/09/2020,False,"Bertrand  Ryan Bertrand (Southampton, Defender)",DEF,SOU,CRY,0,15,15,0,0,0,1,1,90,0,0,0,0,0,1,0,0.11,0.0,0.11,2020-09-12,,,,,
2700,12/09/2020,False,"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",GKP,SOU,CRY,0,17,17,0,0,0,1,1,90,0,0,0,0,0,1,0,0.02,0.0,0.02,2020-09-12,,,,,
2694,12/09/2020,False,"Adams  Che Adams (Southampton, Forward)",FWD,SOU,CRY,0,3,3,0,0,0,1,1,85,1,0,0,0,0,1,0,0.14,0.22,0.36,2020-09-12,,,,,
2684,12/09/2020,True,"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",GKP,CRY,SOU,0,19,31,1,0,0,0,1,90,0,0,0,0,0,1,0,0.0,0.0,0.0,2020-09-12,,,,,
2695,12/09/2020,False,"Bednarek  Jan Bednarek (Southampton, Defender)",DEF,SOU,CRY,0,11,11,0,0,0,1,1,45,1,0,0,0,0,1,0,0.01,0.0,0.01,2020-09-12,,,,,
2686,12/09/2020,True,"McArthur  James McArthur (Crystal Palace, Midfielder)",MID,CRY,SOU,0,14,14,1,0,0,0,1,90,0,0,0,0,0,1,0,0.0,0.05,0.05,2020-09-12,,,,,
2687,12/09/2020,True,"McCarthy (James)  James McCarthy (Crystal Palace, Midfielder)",MID,CRY,SOU,0,4,4,1,0,0,0,1,74,1,0,0,0,1,1,0,0.11,0.0,0.11,2020-09-12,,,,,
2688,12/09/2020,True,"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",MID,CRY,SOU,0,6,6,0,0,0,0,1,16,0,0,1,0,0,0,0,0.11,0.0,0.11,2020-09-12,,,,,
2689,12/09/2020,True,"Mitchell  Tyrick Mitchell (Crystal Palace, Defender)",DEF,CRY,SOU,0,11,23,1,0,0,0,1,90,0,0,0,0,0,1,0,0.01,0.0,0.01,2020-09-12,,,,,
2685,12/09/2020,True,"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",MID,CRY,SOU,0,3,3,1,0,0,0,1,90,0,0,0,0,0,1,0,0.0,0.15,0.15,2020-09-12,,,,,
2691,12/09/2020,True,"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",MID,CRY,SOU,1,17,26,1,0,0,0,1,90,0,0,0,0,0,1,1,0.24,0.0,0.24,2020-09-12,,,,,
2692,12/09/2020,True,"Ward (Joel)  Joel Ward (Crystal Palace, Defender)",DEF,CRY,SOU,0,10,22,1,0,0,0,1,90,0,0,0,0,0,1,0,0.0,0.0,0.0,2020-09-12,,,,,
2693,12/09/2020,True,"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",MID,CRY,SOU,0,-3,18,1,0,1,0,1,90,0,0,0,0,0,1,0,0.01,0.85,0.86,2020-09-12,,,,,
2690,12/09/2020,True,"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",MID,CRY,SOU,0,3,3,1,0,0,0,1,81,1,0,0,0,1,1,0,0.0,0.0,0.0,2020-09-12,,,,,
2821,13/09/2020,False,"Castagne  Timothy Castagne (Leicester City, Defender)",DEF,LEI,WBA,0,11,38,1,0,1,0,1,90,0,0,0,0,0,1,0,0.02,0.46,0.48,2020-09-13,,,,,
2794,13/09/2020,False,"Digne  Lucas Digne (Everton, Defender)",DEF,EVE,TOT,1,17,38,1,0,0,0,1,90,0,0,0,0,0,1,1,0.11,0.0,0.11,2020-09-13,,,,,
2795,13/09/2020,False,"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",MID,EVE,TOT,0,20,20,1,0,0,0,1,90,0,0,0,0,0,1,0,0.02,0.0,0.02,2020-09-13,,,,,
2796,13/09/2020,False,"Kean  Moise Kean (Everton, Forward)",FWD,EVE,TOT,0,2,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,0.0,0.0,2020-09-13,,,,,
2797,13/09/2020,False,"Keane  Michael Keane (Everton, Defender)",DEF,EVE,TOT,0,17,29,1,0,0,0,1,90,0,0,0,0,0,1,0,0.01,0.0,0.01,2020-09-13,,,,,
2798,13/09/2020,False,"Allan  Allan Marques Loureiro (Everton, Midfielder)",MID,EVE,TOT,0,16,16,1,0,0,0,1,90,0,0,0,0,0,1,0,0.0,0.0,0.0,2020-09-13,,,,,
2799,13/09/2020,False,"Mina  Yerry Mina (Everton, Defender)",DEF,EVE,TOT,0,17,29,1,0,0,0,1,90,0,0,0,0,0,1,0,0.0,0.02,0.02,2020-09-13,,,,,
2800,13/09/2020,False,"Pickford  Jordan Pickford (Everton, Goalkeeper)",GKP,EVE,TOT,0,20,32,1,0,0,0,1,90,0,0,0,0,0,1,0,0.0,0.0,0.0,2020-09-13,,,,,
2801,13/09/2020,False,"Rodríguez  James Rodríguez (Everton, Midfielder)",MID,EVE,TOT,0,18,18,1,0,0,0,1,89,1,0,0,0,0,1,0,0.24,0.17,0.41,2020-09-13,,,,,
2802,13/09/2020,False,"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",MID,EVE,TOT,0,3,3,0,0,0,0,1,22,0,0,1,0,0,0,0,0.0,0.0,0.0,2020-09-13,,,,,
2803,13/09/2020,False,"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",MID,EVE,TOT,0,11,11,1,0,0,0,1,68,1,0,0,0,0,1,0,0.03,0.06,0.09,2020-09-13,,,,,
2805,13/09/2020,True,"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",DEF,TOT,EVE,0,12,12,0,0,0,1,1,90,0,0,0,0,0,1,0,0.07,0.0,0.07,2020-09-13,,,,,
2817,13/09/2020,True,"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",MID,TOT,EVE,0,13,13,0,0,0,1,1,90,0,0,0,0,0,1,0,0.22,0.07,0.29,2020-09-13,,,,,
2807,13/09/2020,True,"Bergwijn  Steven Bergwijn (Tottenham Hotspur, Midfielder)",MID,TOT,EVE,0,2,2,0,0,0,0,1,30,0,0,1,0,0,0,0,0.06,0.0,0.06,2020-09-13,,,,,
